Designator,Mid X,Mid Y,Rotation,Layer
C1,19.7558,-35.1536,180.0,top
C10,44.4652,-29.0322,0.0,top
C11,40.3352,-24.8514,270.0,top
C12,36.7538,-29.083,0.0,top
C13,36.7792,-11.2522,0.0,top
C14,49.022,-29.5758,270.0,top
C15,40.3098,-15.7886,90.0,top
C16,52.1208,-11.942127,90.0,top
C17,48.8188,-11.947127,90.0,top
C18,63.638532,-21.0566,90.0,top
C19,56.134,-21.0566,270.0,top
C2,26.1404,-35.1536,0.0,top
C20,59.886266,-21.0566,270.0,top
C21,61.214,-25.8166,90.0,top
C22,57.2008,-16.2408,90.0,top
C23,61.1378,-16.2916,90.0,top
C24,57.0992,-25.8166,270.0,top
C25,66.9783,-34.401833,180.0,top
C27,72.2122,-34.397466,180.0,top
C28,72.5174,-38.0115,0.0,top
C29,66.744,-37.9861,0.0,top
C3,23.116,-42.3926,0.0,top
C4,13.4612,-35.1536,180.0,top
C5,32.435,-35.1536,180.0,top
C6,8.6868,-19.7968,270.0,top
C7,40.4622,-30.4076,270.0,top
C8,45.466,-11.926727,90.0,top
C9,52.9844,-29.0561,90.0,top
D1,60.96,-35.1532,90.0,top
D2,57.0484,-35.1494,90.0,top
J1,68.7578,-52.4002,0.0,top
J10,64.5414,-9.4234,90.0,top
J11,78.6022,-21.51,90.0,top
J12,79.2226,-36.0388,90.0,top
J2,75.1624,-10.9982,0.0,top
J3,35.132,-52.3832,0.0,top
J4,51.4712,-52.4002,0.0,top
J5,79.2226,-44.7294,90.0,top
J6,11.2522,-52.4256,0.0,top
J7,4.064,-9.6596,270.0,top
J8,4.064,-33.1254,270.0,top
MD1,20.8404,-15.88,0.0,top
R1,60.9092,-30.9391,270.0,top
R10,67.3608,-21.0566,270.0,top
R11,65.024,-25.7791,270.0,top
R12,64.9478,-16.3322,270.0,top
R13,72.2122,-30.5562,180.0,top
R14,66.8274,-30.5562,180.0,top
R15,66.9002,-41.6691,180.0,top
R16,72.3085,-41.6691,180.0,top
R2,56.9976,-30.9353,270.0,top
R3,62.357,-46.2788,0.0,top
R4,57.3532,-42.6466,180.0,top
R5,57.404,-46.2807,180.0,top
R6,56.4407,-11.2268,180.0,top
R7,40.296,-20.3615,90.0,top
R8,41.9862,-11.1271,270.0,top
R9,45.4171,-32.7152,0.0,top
SW1,52.3896,-39.5998,270.0,top
SW2,39.8484,-46.0986,90.0,top
U1,12.7508,-42.3926,90.0,top
U2,33.7058,-42.3926,90.0,top
U3,48.5674,-20.8342,270.0,top
Y1,35.8648,-20.193,90.0,top
